75,46,50,98,86,51,11,49,30,61,30,70,77,24,91,69,19,59,0,95,86,16,58,24,49,43,16,41,34,46,80,30,0,2,7,1,9,5,4,8,3,13,14,12,11,6,10,15,0
30,12,34,86,84,54,29,31,92,62,2,83,29,87,28,2,49,32,1,37,59,32,96,73,69,3,72,30,86,0,64,91,0,7,9,5,6,1,15,11,4,2,13,14,12,10,8,3,1
60,65,46,50,95,59,49,86,48,73,51,51,38,63,46,75,69,20,98,24,29,6,43,43,26,85,13,40,89,62,4,26,0,4,7,3,12,6,5,1,11,13,15,10,8,9,2,14,2
59,14,12,13,85,34,25,24,67,19,25,65,40,28,20,25,76,67,99,6,33,89,64,93,70,96,8,87,73,36,10,4,0,4,9,2,14,8,12,11,10,13,5,7,1,15,3,6,3
10,19,2,28,16,16,90,22,31,38,57,1,85,79,68,30,90,23,37,78,25,72,7,4,49,7,13,74,31,20,100,13,0,1,4,13,10,9,6,7,8,3,15,5,12,14,2,11,4
62,21,24,44,36,24,29,44,87,3,7,95,6,7,97,64,55,59,79,64,30,85,52,31,42,74,98,86,97,56,88,99,0,11,2,6,1,3,5,10,12,8,9,15,13,7,14,4,5
83,31,100,95,67,78,86,83,95,53,70,57,21,11,79,77,99,36,26,3,2,77,57,42,77,3,60,66,0,30,62,16,0,12,15,9,6,14,10,11,5,13,2,7,3,1,4,8,6
92,1,0,68,76,81,36,100,92,21,21,83,52,56,75,2,56,43,71,25,98,49,85,65,50,67,85,23,27,42,11,93,0,7,9,8,6,12,14,1,15,5,3,2,11,10,13,4,7
94,58,26,92,21,26,36,56,88,26,55,84,70,66,49,86,99,15,99,58,8,50,73,56,44,24,91,84,86,40,32,14,0,9,13,11,6,5,7,1,3,10,2,15,12,8,4,14,8
10,72,79,90,99,94,17,86,74,87,91,81,57,100,27,50,88,87,75,10,2,71,53,33,85,26,43,47,24,92,59,93,0,10,7,13,11,9,12,5,2,8,1,4,15,6,14,3,9
63,24,92,23,54,20,40,55,46,32,64,5,82,12,42,89,29,91,71,1,53,55,83,96,62,97,30,45,92,26,100,45,0,5,9,6,1,14,15,11,12,7,8,10,3,13,4,2,10
95,58,100,3,68,60,67,0,71,80,3,70,97,36,85,54,74,41,96,1,6,41,42,40,87,98,50,89,75,95,100,28,0,7,8,2,4,12,14,13,5,10,11,3,9,1,15,6,11
40,36,93,1,97,63,38,44,51,78,80,62,2,49,47,14,32,70,10,45,19,64,89,54,91,39,100,33,48,47,36,57,0,7,1,13,12,11,2,5,4,8,10,6,9,15,14,3,12
54,28,98,26,66,24,12,60,18,56,92,78,16,61,20,0,78,14,63,52,99,54,34,66,46,93,52,35,25,29,80,55,0,13,7,14,4,3,6,11,12,9,15,5,10,1,8,2,13
4,91,60,11,47,95,3,10,98,22,63,92,44,2,44,80,13,53,55,17,15,2,58,51,89,92,79,25,85,98,42,16,0,8,3,10,6,15,9,1,4,13,11,12,14,5,2,7,14
10,87,32,70,45,62,67,90,40,30,34,99,91,87,21,21,77,0,9,99,86,50,84,88,14,11,7,9,82,41,91,63,0,9,5,3,11,6,15,10,14,8,12,13,7,4,2,1,15
4,43,27,81,23,97,72,48,66,43,53,99,46,48,77,48,7,3,61,5,42,77,90,76,99,5,10,39,18,80,78,32,0,8,9,12,15,4,3,7,11,5,2,14,1,10,6,13,16
7,16,99,97,80,6,98,71,56,69,13,14,34,67,51,28,68,34,18,2,28,64,86,70,64,32,41,88,24,93,59,44,0,5,9,7,2,8,12,15,11,3,1,4,13,14,6,10,17
47,87,50,69,91,48,31,70,47,58,62,32,88,77,93,70,16,56,55,68,13,2,94,34,4,38,64,55,34,52,24,25,0,3,8,12,10,15,14,4,1,9,13,5,11,2,7,6,18
70,18,21,69,83,85,47,45,66,22,13,45,20,68,27,33,63,96,76,8,39,36,37,94,51,18,39,10,79,77,71,10,0,9,15,12,13,10,7,5,6,1,11,8,2,14,3,4,19
39,44,86,95,77,37,58,88,11,59,76,5,18,78,68,7,49,22,10,59,63,71,85,98,87,41,79,5,46,19,37,69,0,4,9,6,15,10,3,11,1,12,2,13,5,7,14,8,20
51,16,8,27,8,36,78,5,53,85,27,8,90,32,7,58,84,20,2,73,91,19,62,77,15,59,68,67,38,22,65,89,0,3,8,10,6,13,11,15,4,9,7,12,2,1,5,14,21
97,78,74,62,50,10,33,33,4,18,95,71,95,100,96,83,13,30,79,5,37,61,31,55,33,22,53,77,30,26,30,21,0,7,6,13,10,11,3,14,8,4,15,12,2,9,1,5,22
31,38,35,64,44,64,48,10,89,86,35,4,43,100,75,84,31,46,44,44,51,96,82,45,20,23,56,44,79,80,97,94,0,8,1,2,6,10,7,14,4,15,11,13,9,3,5,12,23
34,74,36,84,86,47,76,42,93,6,57,96,34,84,61,72,48,42,16,39,32,21,3,29,76,63,24,61,78,96,41,24,0,13,9,11,10,15,8,4,3,2,12,7,14,5,1,6,24
19,83,4,6,57,89,99,4,57,58,43,58,19,15,1,13,20,76,37,60,22,98,86,37,95,8,9,19,48,65,23,49,0,8,15,13,7,1,6,3,12,11,4,5,9,14,2,10,25
89,97,70,87,24,100,78,81,42,59,28,14,8,12,63,15,39,8,10,92,67,87,46,48,17,94,69,74,71,45,79,0,0,3,13,14,15,7,8,5,6,11,4,9,12,2,10,1,26
50,67,58,11,52,17,77,29,50,3,62,19,16,10,15,3,69,79,82,63,37,67,97,8,88,87,73,66,37,56,92,55,0,8,12,13,9,15,11,3,5,2,1,4,7,6,14,10,27
25,50,22,54,11,96,19,48,96,37,15,98,78,30,79,34,69,84,10,26,3,10,43,47,28,89,38,62,4,77,84,72,0,3,9,10,14,2,5,12,8,15,4,7,6,11,13,1,28
20,54,28,57,34,40,88,55,22,40,55,83,36,47,74,10,14,81,24,1,94,80,27,7,79,96,29,5,23,6,99,58,0,1,6,2,4,14,9,11,13,7,3,15,10,12,5,8,29
1,77,9,39,93,5,66,5,91,28,47,8,49,25,76,65,57,26,89,11,79,74,15,9,54,22,95,10,100,26,99,74,0,7,10,15,4,14,13,2,9,3,8,12,6,5,11,1,30
22,33,42,13,12,36,63,8,44,21,5,11,34,63,40,29,55,62,63,11,87,62,8,8,59,81,57,35,43,15,17,63,0,7,4,14,1,3,9,13,10,12,8,6,15,2,5,11,31
53,17,22,78,47,25,43,64,83,14,76,15,72,67,99,48,58,90,95,51,27,9,0,82,25,79,20,57,29,19,13,75,0,2,10,14,13,11,15,1,12,3,8,6,9,7,4,5,32
57,80,42,96,91,38,90,99,25,37,88,37,31,82,88,31,88,64,56,81,11,60,25,23,29,42,68,64,93,76,7,70,0,9,1,6,15,10,12,4,11,7,5,2,8,14,3,13,33
48,19,5,17,5,75,4,27,74,73,17,64,21,62,88,2,0,52,43,43,13,82,55,80,54,77,14,83,7,46,58,30,0,7,15,9,4,11,12,6,5,13,10,2,8,14,3,1,34
89,5,70,70,28,41,4,38,76,1,76,30,10,71,93,30,74,71,11,32,10,13,18,96,71,34,73,29,39,87,93,42,0,4,5,13,12,2,10,9,3,6,11,14,1,8,15,7,35
24,73,42,95,76,81,86,29,9,42,87,63,80,47,99,56,89,96,96,11,96,65,21,23,18,42,49,13,37,4,71,52,0,4,12,11,14,13,9,3,6,15,5,7,10,8,2,1,36
15,17,93,31,34,62,44,28,55,96,76,96,97,25,98,94,34,38,33,50,11,52,55,11,13,85,94,30,36,17,77,41,0,8,9,2,10,12,4,5,7,15,1,13,6,11,3,14,37
97,43,56,49,61,24,78,72,80,36,60,55,96,0,10,12,52,81,95,14,73,35,41,60,18,27,83,68,20,99,60,58,0,9,6,4,10,2,7,12,1,5,15,11,14,8,3,13,38
17,25,90,10,59,1,78,88,64,6,94,82,41,48,8,100,80,44,45,34,9,83,64,9,29,2,49,89,85,78,63,43,0,9,6,10,7,13,3,5,14,15,8,1,11,4,2,12,39
79,76,45,3,87,80,44,56,48,15,3,72,47,50,47,3,17,38,42,63,67,77,36,25,30,25,75,0,68,55,56,80,0,2,14,13,7,1,4,11,12,8,5,6,3,9,15,10,40
78,48,61,47,32,14,51,76,26,60,87,37,18,96,4,9,87,61,60,99,27,33,71,27,27,37,25,4,94,69,19,91,0,1,3,9,6,15,4,12,10,7,13,2,11,5,14,8,41
77,56,79,37,64,51,32,77,9,22,66,25,100,100,31,63,35,47,32,98,17,64,97,91,23,38,53,66,95,8,7,93,0,2,1,14,5,4,12,8,7,10,15,9,3,13,6,11,42
68,68,67,30,22,80,68,25,77,91,86,47,0,47,47,59,81,86,70,78,42,92,14,26,7,95,48,90,69,46,53,75,0,9,4,8,5,14,1,3,11,6,12,2,10,13,15,7,43
69,28,66,97,100,52,96,3,5,76,95,51,25,51,39,59,46,91,44,63,63,32,38,55,54,46,77,6,9,97,8,69,0,10,12,9,7,11,6,15,4,14,8,1,5,2,3,13,44
44,91,27,98,54,40,54,98,69,81,14,78,32,25,38,16,28,24,8,54,45,80,44,11,28,25,43,42,73,62,42,91,0,10,3,4,14,2,13,11,7,6,8,12,9,5,1,15,45
30,81,25,52,75,79,20,79,39,40,34,60,63,68,87,37,34,62,55,4,31,46,32,90,72,45,88,52,74,64,2,41,0,3,8,5,1,15,10,4,9,12,7,13,14,2,6,11,46
